Match,Round,GameDate,Location,HomeTeam,AwayTeam,Result
4,1,22/08/2021 02:30,Marcantonio Bentegodi,Hellas Verona,Sassuolo,
5,1,22/08/2021 02:30,Giuseppe Meazza,Inter,Genoa,
3,1,22/08/2021 04:45,Carlo Castellani,Empoli,Lazio,
9,1,22/08/2021 04:45,Olimpico Grande Torino,Torino,Atalanta,
1,1,23/08/2021 02:30,Renato Dall'Ara,Bologna,Salernitana,
10,1,23/08/2021 02:30,Stadio Friuli,Udinese,Juventus,
6,1,23/08/2021 04:45,Diego Armando Maradona,Napoli,Venezia,
7,1,23/08/2021 04:45,Olimpico,Roma,Fiorentina,
2,1,24/08/2021 02:30,Sardegna Arena,Cagliari,Spezia,
8,1,24/08/2021 04:45,Luigi Ferraris,Sampdoria,Milan,
20,2,28/08/2021 02:30,Stadio Friuli,Udinese,Venezia,
14,2,28/08/2021 04:45,Marcantonio Bentegodi,Hellas Verona,Inter,
11,2,29/08/2021 02:30,Gewiss Stadium,Atalanta,Bologna,
16,2,29/08/2021 02:30,Olimpico,Lazio,Spezia,
12,2,29/08/2021 04:45,Artemio Franchi,Fiorentina,Torino,
15,2,29/08/2021 04:45,Allianz Stadium,Juventus,Empoli,
13,2,30/08/2021 02:30,Luigi Ferraris,Genoa,Napoli,
19,2,30/08/2021 02:30,Mapei Stadium,Sassuolo,Sampdoria,
17,2,30/08/2021 04:45,Giuseppe Meazza,Milan,Cagliari,
18,2,30/08/2021 04:45,Arechi,Salernitana,Roma,
21,3,12/09/2021 23:00,Gewiss Stadium,Atalanta,Fiorentina,
22,3,12/09/2021 23:00,Renato Dall'Ara,Bologna,Hellas Verona,
23,3,12/09/2021 23:00,Sardegna Arena,Cagliari,Genoa,
24,3,12/09/2021 23:00,Carlo Castellani,Empoli,Venezia,
25,3,12/09/2021 23:00,Giuseppe Meazza,Milan,Lazio,
26,3,12/09/2021 23:00,Diego Armando Maradona,Napoli,Juventus,
